,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,R2Campaign,Age
458,2,2,50300.0,0,1,7.0,52,0,70
459,0,4,66664.0,0,0,9.0,78,0,40
460,2,2,60597.0,0,1,8.0,2,1,58
461,2,5,70165.0,0,0,8.0,60,0,73
462,4,5,50520.0,0,1,8.0,25,0,64
463,2,2,80124.0,0,0,7.0,47,1,59
464,2,2,33183.0,1,0,8.0,46,0,47
465,4,3,66582.0,0,0,8.0,83,0,53
466,4,4,75261.0,0,0,9.0,17,1,67
467,2,5,31880.0,1,0,9.0,13,0,52
468,2,2,53790.0,0,2,8.0,86,0,71
469,4,4,49269.0,1,0,9.0,92,0,51
470,2,2,61456.0,0,1,9.0,47,0,47
471,2,2,37406.0,1,0,8.0,18,1,42
472,4,4,56937.0,1,0,9.0,81,1,41
473,2,2,38415.0,1,1,9.0,91,0,44
474,2,3,20518.0,1,0,8.0,58,0,34
475,2,2,62503.0,0,1,9.0,40,0,66
476,4,3,41644.0,1,1,8.0,67,0,50
477,3,2,55842.0,0,1,7.0,19,0,45
478,4,2,62010.0,0,1,9.0,93,0,50
479,2,2,41124.0,1,0,9.0,41,0,45
480,3,2,38961.0,1,0,8.0,60,0,49
481,3,1,37760.0,1,0,8.0,54,0,50
482,2,3,32233.0,1,0,9.0,26,1,48
483,2,2,43057.0,0,1,8.0,30,0,47
484,3,4,83151.0,0,0,9.0,93,0,62
485,4,1,78825.0,0,0,9.0,35,1,58
486,3,4,65104.0,0,1,8.0,4,0,46
487,2,2,60093.0,0,1,8.0,92,0,48
488,2,2,14045.0,1,0,8.0,24,0,53
489,0,5,28457.0,0,0,9.0,96,0,70
490,4,4,78952.0,0,1,9.0,11,0,64
491,2,1,46310.0,1,0,9.0,99,0,46
492,2,4,76005.0,0,0,9.0,72,1,67
493,3,3,58308.0,0,1,9.0,77,0,58
494,4,1,55614.0,0,0,8.0,85,1,78
495,3,1,59432.0,0,1,9.0,88,0,60
496,2,1,55563.0,0,1,8.0,22,0,44
497,4,4,78642.0,0,1,9.0,83,0,51
498,4,4,67911.0,0,1,7.0,63,0,73
499,2,2,65275.0,0,0,9.0,9,0,78
500,2,4,27203.0,1,1,9.0,92,0,72
501,3,4,48330.0,0,1,8.0,2,0,61
502,1,2,24279.0,0,0,9.0,6,0,32
503,4,2,64355.0,1,0,9.0,66,0,37
504,3,4,50943.0,0,1,8.0,49,0,66
505,2,5,53653.0,0,0,9.0,29,0,69
506,2,2,65665.0,0,1,8.0,77,0,46
507,2,3,81217.0,0,0,8.0,77,0,33
508,2,2,34935.0,0,0,8.0,71,0,30
509,2,1,61250.0,0,1,9.0,49,0,63
510,4,4,39665.0,1,0,8.0,97,1,41
511,2,3,60152.0,0,1,9.0,6,0,43
512,2,2,48920.0,0,2,8.0,93,1,58
513,3,4,89120.0,0,0,8.0,78,1,63
514,4,4,44124.0,0,1,9.0,62,0,76
515,3,3,81169.0,0,0,9.0,47,0,47
516,2,2,36443.0,1,1,9.0,9,0,61
517,2,3,26095.0,1,0,8.0,77,0,32
518,2,4,71367.0,0,0,8.0,24,0,63
519,3,2,80184.0,0,0,8.0,19,1,78
520,2,1,30630.0,1,1,8.0,67,0,57
521,3,3,73454.0,0,0,8.0,95,1,35
522,2,2,42691.0,0,0,8.0,48,0,31
523,2,2,70503.0,0,0,9.0,73,1,69
524,2,2,25545.0,1,0,9.0,35,1,35
525,2,2,32880.0,1,0,9.0,76,0,36
526,4,4,77863.0,0,0,8.0,20,0,64
527,3,2,50353.0,0,0,7.0,72,0,45
528,2,3,61839.0,0,0,9.0,20,0,58
529,4,2,49154.0,1,1,8.0,69,0,62
530,0,5,47682.0,0,1,9.0,80,0,47
531,2,3,72679.0,0,1,8.0,65,0,53
532,3,4,57954.0,1,1,7.0,52,1,45
533,2,2,65316.0,1,1,9.0,65,0,60
534,2,3,28567.0,1,0,8.0,57,0,40
535,3,4,47352.0,0,1,9.0,70,0,71
536,2,4,44931.0,0,1,8.0,0,0,55
537,2,1,76982.0,0,0,8.0,19,1,55
538,0,4,57247.0,0,1,8.0,50,0,70
539,3,3,22944.0,1,0,8.0,67,0,41
540,0,4,25315.0,1,0,8.0,46,0,45
541,2,5,43638.0,0,1,9.0,37,0,53
542,4,3,42710.0,1,0,9.0,38,0,38
543,4,2,84169.0,0,0,8.0,9,1,40
544,2,4,54058.0,0,1,8.0,56,0,46
545,0,2,24683.0,1,0,8.0,98,0,32
546,2,5,85620.0,0,0,8.0,68,1,58
547,2,2,47850.0,1,0,8.0,72,0,42
548,2,2,19514.0,1,1,8.0,47,1,54
549,3,2,27159.0,1,1,8.0,33,0,49
550,0,3,39548.0,1,1,8.0,87,0,59
551,2,3,21474.0,1,0,8.0,0,1,33
552,4,3,60504.0,0,1,8.0,73,0,51
553,2,2,22419.0,0,0,9.0,74,0,59
554,3,2,81698.0,0,0,8.0,4,1,73
555,2,4,43462.0,1,1,9.0,50,0,70
556,4,3,54880.0,1,0,9.0,57,0,44
557,2,2,79908.0,0,0,9.0,30,1,40
558,0,2,15315.0,0,0,8.0,27,0,52
559,2,4,87771.0,0,1,8.0,61,1,63
560,2,2,33039.0,1,0,8.0,4,0,44
561,2,3,81741.0,0,0,8.0,75,0,42
562,3,4,71499.0,0,1,8.0,12,0,51
563,0,2,62466.0,0,1,8.0,13,0,52
564,4,1,48799.0,0,1,8.0,9,0,59
565,4,4,52157.0,0,1,7.0,48,0,72
566,2,3,66565.0,0,1,9.0,80,0,60
567,3,4,29298.0,1,1,8.0,60,0,71
568,2,3,47691.0,0,1,8.0,43,0,43
569,2,4,38200.0,1,1,9.0,19,0,52
570,2,2,44989.0,0,1,9.0,26,0,48
571,4,2,38443.0,1,1,8.0,58,0,54
572,0,3,38593.0,1,0,8.0,42,0,44
